STON	STON	STON
2015	2015	2015
4	4	4
18	18	18
14	14	14
33	33	33
15	15	15
0.020	0.020	0.020
-0.350724	0.519346	-0.183855
-0.340806	0.531323	-0.155664
-0.347749	0.553283	-0.120667
-0.355684	0.576240	-0.089560
-0.354692	0.588217	-0.057480
-0.346757	0.593207	-0.023456
-0.353700	0.589215	0.005708
-0.358659	0.599196	0.030983
-0.357667	0.603189	0.070840
-0.351716	0.609178	0.106809
-0.352708	0.592209	0.126251
-0.354692	0.588217	0.150554
-0.359651	0.596202	0.177773
-0.366594	0.583226	0.200132
-0.345765	0.578236	0.211798
-0.345765	0.554280	0.241933
-0.352708	0.556277	0.269153
-0.349732	0.569252	0.287622
-0.342789	0.566258	0.303177
-0.343781	0.549290	0.315814
-0.335846	0.538311	0.322619
-0.318985	0.530326	0.321647
-0.319977	0.524337	0.338173
-0.323944	0.530326	0.349838
-0.305099	0.530326	0.354699
-0.287245	0.503376	0.367336
-0.280302	0.487407	0.362476
-0.268400	0.491399	0.365393
-0.255506	0.483414	0.379002
-0.233685	0.475430	0.382891
-0.217815	0.467444	0.384835
-0.196986	0.467444	0.378030
-0.193018	0.446484	0.378030
-0.184092	0.447482	0.385807
-0.149377	0.454469	0.392612
-0.128548	0.454469	0.397472
-0.125572	0.456465	0.393584
-0.119621	0.453470	0.393584
-0.080938	0.444488	0.404277
-0.067052	0.442492	0.399417
-0.070028	0.461455	0.403305
-0.048207	0.460457	0.408166
-0.021427	0.467444	0.406221
-0.004565	0.460457	0.397472
0.017256	0.460457	0.376085
0.035109	0.477426	0.376085
0.037093	0.463451	0.375113
0.071808	0.466446	0.352755
0.096604	0.470439	0.345950
0.095613	0.463451	0.342061
0.085694	0.459459	0.327479
0.115450	0.459459	0.330396
0.150165	0.454469	0.317759
0.147189	0.467444	0.310954
0.149173	0.480420	0.299288
0.142230	0.459459	0.290539
0.141238	0.448480	0.283734
0.150165	0.460457	0.256515
0.148181	0.472435	0.264292
0.125369	0.475430	0.253598
0.116442	0.473433	0.247766
0.115450	0.463451	0.226379
0.105531	0.476427	0.202076
0.073792	0.476427	0.211798
0.048003	0.492397	0.178745
0.051971	0.491399	0.176801
0.031142	0.460457	0.178745
-0.004565	0.488404	0.137917
-0.030354	0.503376	0.157359
-0.054158	0.492397	0.152498
-0.063085	0.510364	0.125278
-0.085898	0.507369	0.127223
-0.118629	0.526333	0.113613
-0.161279	0.543302	0.122362
-0.193018	0.531323	0.108752
-0.199962	0.557275	0.100003
-0.236660	0.559271	0.103892
-0.266416	0.572247	0.083478
-0.292204	0.584224	0.069868
-0.305099	0.585222	0.067924
-0.325928	0.593207	0.053342
-0.337830	0.610175	0.042648
-0.344773	0.633132	0.040704
-0.363618	0.634130	0.033899
-0.356676	0.654093	0.025150
-0.352708	0.662078	0.008624
-0.355684	0.674055	0.012513
-0.367586	0.697012	-0.000125
-0.377504	0.716974	-0.000125
-0.355684	0.719969	-0.008874
-0.342789	0.730947	-0.032205
-0.353700	0.777860	-0.023456
-0.342789	0.803811	-0.029288
-0.325928	0.815788	-0.032205
-0.310058	0.821776	-0.054564
-0.292204	0.857709	-0.055535
-0.295180	0.884659	-0.066229
-0.276335	0.907615	-0.063313
-0.246579	0.914602	-0.065257
-0.230709	0.913604	-0.088588
-0.209880	0.950535	-0.085671
-0.204921	0.944546	-0.100253
-0.187068	0.968500	-0.071090
-0.169214	0.968500	-0.099281
-0.145409	0.981476	-0.094420
-0.130531	0.999442	-0.088588
-0.126564	0.995450	-0.098309
-0.107718	1.002437	-0.100253
-0.078955	0.978481	-0.114835
-0.065069	0.990459	-0.108030
-0.058125	0.997446	-0.125528
-0.039280	0.993454	-0.114835
-0.024403	0.974489	-0.132333
0.000394	0.950535	-0.144971
0.016264	0.953528	-0.140110
0.024199	0.935562	-0.143998
0.030150	0.916598	-0.152748
0.048003	0.892643	-0.164413
0.081727	0.847728	-0.182883
0.094621	0.836749	-0.188716
0.085694	0.814790	-0.200381
0.097596	0.805807	-0.182883
0.126360	0.767879	-0.193577
0.138263	0.749912	-0.206214
0.142230	0.717973	-0.203298
0.134295	0.696013	-0.202326
0.137270	0.682040	-0.189689
0.153141	0.623151	-0.199409
0.158100	0.610175	-0.191632
0.154132	0.577237	-0.190660
0.151157	0.563264	-0.188716
0.167027	0.528330	-0.187744
0.177937	0.480420	-0.180939
0.189839	0.456465	-0.180939
0.194798	0.433508	-0.172190
0.196782	0.411550	-0.174134
0.205709	0.379609	-0.167330
0.223563	0.331699	-0.176079
0.233481	0.297764	-0.175106
0.222570	0.283790	-0.166357
0.233481	0.257839	-0.166357
0.256294	0.199948	-0.162469
0.267204	0.176991	-0.166357
0.268196	0.152039	-0.175106
0.278115	0.125089	-0.162469
