1. prozor	2. prozor
138.00677396	375.80057983
493.63895126	453.57496464
870.70361549	511.67938266
1081.59825311	610.99149343
1231.55262704	579.26027942
1238.53762146	777.33201055
149.66086975	230.92295876
254.75163521	705.25147632
376.13259550	359.75430452
701.47433673	1057.44800693
1186.51768496	2271.34471974
6843.38294524	29349.36652526
260.35900153	384.15812225
315.13810581	253.42076539
418.94972914	NaN
655.71896350	500.12073121
792.92895839	570.77497628
1532.40671564	1744.79920555
118.00455057	NaN
251.03376696	209.71306575
469.75900155	504.44364735
571.97882426	527.00053211
704.83213030	619.43553754
1272.88579437	1604.82682850
202.76091415	164.21740172
308.85120999	208.29483641
472.25502971	459.71946938
688.42841215	489.18129734
951.60826139	599.15542386
1472.43696866	1385.57432169
358.87601793	199.97975354
416.12005857	436.70571247
427.26519601	415.79427590
623.26374305	620.44762312
832.27231328	817.58214173
1057.21288911	817.72164333
174.18838544	155.31776385
235.88746905	192.76239801
343.92166135	256.14119794
680.67654902	535.86375502
887.65956782	746.36962729
1646.28833118	1763.80230492
114.62349458	93.20470695
285.53391595	332.24387433
413.64294378	603.53948144
565.85179797	797.35405013
764.30071231	912.84494910
1060.56423771	1345.50856457
114.29960717	105.93608149
241.37155336	303.59390280
499.23732815	500.94598625
550.46491151	692.15510844
637.93132268	867.58426594
1005.60919941	1904.81770619
230.90295256	914.08633657
373.36652992	731.91117440
476.75303636	449.82080882
842.26460589	942.91896702
983.00932370	1288.36484442
1767.02468136	2446.41977860
51.34207066	70.87233079
120.91254381	123.25056205
222.32522948	NaN
396.62419547	604.36155202
488.25796195	671.80230234
683.64637835	911.67360823
126.48685880	111.22569089
178.38705026	153.47933004
381.81217662	400.70773006
491.35297539	569.22342972
750.71238472	1025.71538086
1091.98740310	1436.28763280
126.28864503	275.91294456
241.74877385	213.25908047
369.59263661	387.35147402
584.25965933	752.72538364
729.11653275	1014.47082343
1006.73978788	1451.57321966
109.67119516	269.30602947
189.77927995	188.63314516
381.18074618	752.34799228
572.89167085	898.75626392
778.56155166	1155.41942642
1137.05274409	2066.56121136
487.31072332	207.55104844
337.84459761	317.20875619
570.80087672	361.83005304
688.14909313	457.73608816
903.59088635	737.58006868
1596.03095879	1245.03144511
204.34357389	104.31928644
370.44200627	276.92227879
540.81323697	446.07870342
765.51536706	NaN
1797.69343159	961.88581259
1988.97981885	1458.97869444
192.17410464	NaN
115.96195160	215.90286536
241.33183393	344.56149714
310.11379993	461.96661880
389.44431860	564.77192548
539.69407264	815.89848416
130.16168971	96.71681957
316.59819640	266.31579544
534.02914804	630.39000306
675.09443720	691.67732313
786.62881469	745.28819823
841.88653591	822.60531046
110.04423466	519.92657114
325.30810404	268.22613070
529.82940691	353.34572942
617.73204671	465.28679091
657.14757380	580.40688268
1183.70542399	1604.69458835
66.33600606	254.49426047
173.34282718	181.12311854
480.18679008	726.81271809
672.33228773	807.84057851
857.22560338	931.18054580
1172.14754059	1321.95405101
119.77827981	135.01300768
436.78634316	221.25393023
534.66544909	440.31391571
747.46784837	446.28610895
1169.87163945	893.83896836
1372.51187644	1017.35424864
128.88414697	675.85561017
287.28084445	312.93926234
1028.43833459	464.26816494
1351.79730704	647.58127245
1595.79124863	879.42208183
1896.55098532	1168.73240812
227.88853598	211.44556102
194.78336653	203.11489676
498.22550648	322.25316769
685.33161714	568.50844357
790.50059212	769.22569066
1240.43946266	1693.64281017
187.53872909	153.63912193
250.79124740	445.73026407
453.36792161	394.48610601
572.60293536	556.30633024
680.23471886	552.52241410
1165.33458796	1436.90193865
133.02132172	358.85952274
323.64179327	338.71018227
456.56091726	553.02154931
643.37426002	508.91102563
967.15319465	1155.75205062
1201.22536439	1353.06162186
193.63413015	173.85954663
349.44680086	286.12833243
579.30246514	431.36264614
851.26528125	767.41933274
837.05108156	564.53651559
1311.31427487	1119.46863496
167.24811067	149.88673091
263.49405211	325.77081439
499.54281754	373.62153560
669.95709948	502.17240238
801.97605053	662.85148205
1264.12109759	1628.27652042
273.72230348	114.59936228
427.50486129	497.07933558
670.70673407	624.76877141
701.06689532	522.64836269
1013.19575205	1354.18966231
1361.29191140	1669.66938457
222.66013527	207.11036020
283.55361371	267.79019164
372.43247978	375.29620921
548.53112229	757.38674614
775.77930225	1232.28500819
1316.84600576	1608.79937340
230.94108649	206.99611392
227.03356561	276.95055647
403.07759548	368.62900408
485.62775576	684.66616561
749.85576068	1170.85103309
1116.09331198	1490.84281774
132.69352770	91.77375086
384.07102184	304.00264682
411.99809178	387.04072129
602.45382553	639.17849337
746.25688913	896.12634789
1175.41639421	1837.53688369
513.28466686	100.74971807
536.27146521	184.95406933
563.33916685	392.76771291
1087.27543220	870.58924883
1472.88254457	1015.75419218
1881.07010829	1350.27840574
141.38450163	175.11065982
323.67362634	170.95914432
481.58196837	267.33907174
547.57050274	NaN
689.05016090	554.04470067
997.21056666	1308.94103979
132.97842612	165.95979100
197.18041553	346.37258507
404.32670582	531.82783052
527.69098646	733.58064712
684.92265803	941.12492090
974.50706243	1534.56343858
623.93142055	176.71957057
249.32912869	453.46533911
357.68956623	537.46611582
568.85968332	620.12906843
876.73291151	884.87706750
1359.14996606	1454.32006939
146.95014539	181.22929630
257.97977989	246.06569452
416.23361793	459.34435391
588.71133928	634.67246303
752.11567928	758.92596786
1008.38304828	1324.24786874
143.74108110	218.94646073
229.82552157	301.94203117
382.61481597	471.16299127
630.51572334	493.60189707
809.52411175	953.62063428
1123.71338908	1316.23051835
